Status,CRN,Course Code,Course Subject,Course Number,Course Title,Cross List Code,College,Department,Schedule Type,Credits,Days,Time,Primary Instructor,Secondary Instructors,Max Enrollment,Current Enrollment,Enrollment Available,Waitlist Count,Campus,Location,Seating,Dates
Open,15128,CS 595-02,CS,595,Trustworthy Machine Learning,,CC,CSCI,LEC,3,, - ,"Wang, Binghui",,10,0,10,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,14806,CS 595-11,CS,595,Ethics of Data and Algorithms,,CC,CSCI,LEC,3,TR,1350 - 1505,"Hood, Cynthia",,20,0,20,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14807,CS 595-12,CS,595,Ethics of Data and Algorithms,,CC,CSCI,LEC,3,, - ,"Hood, Cynthia",,10,0,10,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,11446,CS 597-105,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Glavic, Boris",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10355,CS 597-112,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Argamon, Shlomo",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10357,CS 597-116,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Lan, Zhiling",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10358,CS 597-117,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Leung, Wu-Hon",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,12053,CS 597-121,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Hale, Kyle",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,12538,CS 597-123,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Gurbani, Vijay",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14962,CS 597-128,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Sultana, Nik",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,12379,CS 597-130,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Hong, Yuan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14555,CS 597-138,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Yan, Yan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,12786,CS 597-140,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Wang, Rujia",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14265,CS 597-144,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Shu, Kai",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14266,CS 597-151,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Muller, Stefan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11155,CS 597-156,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Raicu, Ioan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14963,CS 597-164,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Wang, Binghui",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10360,CS 597-167,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Korel, Bogdan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11159,CS 597-171,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Bilgic, Mustafa",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14267,CS 597-173,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Duan, Yue",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11165,CS 597-179,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Zhang-Sun, Hong",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10361,CS 597-181,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Hood, Cynthia",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10362,CS 597-183,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Wan, Peng-Jun",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10363,CS 597-188,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Sun, Xian-He",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10931,CS 597-190,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Bader, Atef",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10364,CS 597-193,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Agam, Gady",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10365,CS 597-194,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Calinescu, Gruia",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10366,CS 597-197,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Kapoor, Sanjiv",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10367,CS 597-199,CS,597,Reading and Special Problems,,CC,CSCI,IND,20,, - ,"Chlebus, Edward",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11802,CS 691-105,CS,691,Research and Thesis Ph.D.,,CC,CSCI,IND,20,, - ,"Glavic, Boris",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10368,CS 691-112,CS,691,Research and Thesis Ph.D.,,CC,CSCI,IND,20,, - ,"Argamon, Shlomo",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,10370,CS 691-116,CS,691,Research and Thesis Ph.D.,,CC,CSCI,IND,20,, - ,"Lan, Zhiling",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11811,CS 691-117,CS,691,Research and Thesis Ph.D.,,CC,CSCI,IND,20,, - ,"Leung, Wu-Hon",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,12777,CS 691-121,CS,691,Research and Thesis Ph.D.,,CC,CSCI,IND,20,, - ,"Hale, Kyle",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14964,CS 691-128,CS,691,Research and Thesis Ph.D.,,CC,CSCI,IND,20,, - ,"Sultana, Nik",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,12380,CS 691-130,CS,691,Research and Thesis Ph.D.,,CC,CSCI,IND,20,, - ,"Hong, Yuan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,14556,CS 691-138,CS,691,Research and Thesis Ph.D.,,CC,CSCI,IND,20,, - ,"Yan, Yan",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,12869,CS 691-140,CS,691,Research and Thesis Ph.D.,,CC,CSCI,IND,20,, - ,"Wang, Rujia",,10,0,10,0,Mies,-,0,22-AUG-22 to 10-DEC-22
